id,category,subcategory,brand,colour,pattern,formality,season,hue,value,chroma,temp,hex,fabric,texture,layer,needs_base,formality_rank,warmth,fit_cut,hem,palette,silhouette,ring_fence,provenance,fit,condition,acquired,availability,verdict,flag_notes,open_question
111,Basics,Socks - black,CDLP,Black,Solid,All,All year,black,D,NEUTRAL,NEUTRAL,#16171a,cotton,FLAT,N/A,N,3,2,REGULAR,N/A,OK,N/A,NONE,C,,Good,,available,KEEP,9 pairs. THE ONLY DARK SOCK COLOUR OWNED - breaks the sock rule in every charcoal / navy / brown look,Brand - check the waistband
112,Basics,Socks - cream,ARKET,Cream,Ribbed,Casual,All year,cream,L,NEUTRAL,WARM,#e6d9bf,cotton,FLAT,N/A,N,2,2,REGULAR,N/A,STRONG,N/A,NONE,C,,Good,,available,KEEP,1 pair,
113,Basics,Socks - pale blue,ARKET,Baby blue,Ribbed,Casual,All year,blue,M,MUTED,COOL,#47688e,cotton,FLAT,N/A,N,2,2,REGULAR,N/A,WEAK,N/A,NONE,C,,Good,,available,KEEP,1 pair. Cool pastel - off palette,
114,Gym,Socks - sport,Nike Court,White,Solid,Sport,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,N/A,GYM,C,,Good,,available,KEEP,3 pairs,
117,Knitwear,Sweater,Nudie Jeans,Cream,Solid,Casual,All year,cream,L,NEUTRAL,WARM,#e6d9bf,knit,TEXTURED,MID,N,2,3,SLIM,N/A,STRONG,OK,NONE,E,Fitted,Good,,available,KEEP,TRAVEL STAPLE - goes into every packing template. The only fitted knit in a strong colour; it is the fit spec for the tobacco merino crew on the buy plan,Measure shoulder / chest / sleeve / body length as the buy spec
121,Basics,Socks - no-show,TBC,Black,Solid,Casual,Spring/Summer,black,D,NEUTRAL,NEUTRAL,#16171a,cotton,FLAT,N/A,N,2,2,REGULAR,N/A,N/A,N/A,NONE,C,,Good,,available,KEEP,5 pairs,Colour - white black or mixed
122,Basics,Underwear - trunk,Calvin Klein,White,Solid,n/a,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,N/A,NONE,C,,Good,,available,KEEP,8 pairs. PREFERRED BRAND AND CUT,
123,Basics,Underwear - trunk,Calvin Klein,Black,Solid,n/a,All year,black,D,NEUTRAL,NEUTRAL,#16171a,cotton,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,N/A,NONE,C,,Good,,available,KEEP,6 pairs. PREFERRED BRAND AND CUT,
124,Basics,Underwear - trunk,CDLP,Black,Solid,n/a,All year,black,D,NEUTRAL,NEUTRAL,#16171a,cotton,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,N/A,NONE,C,,Good,,available,RETIRE,3 pairs. Being phased out - do not replace,
125,Gym,Underwear - sport,Nike Pro,Assorted,Solid,Sport,All year,n/a,M,MUTED,NEUTRAL,#8a8781,technical,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,N/A,GYM,C,,Good,,available,KEEP,4 pairs,
127,Accessories,Belt,The Kooples,Black,Solid,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,leather,FLAT,N/A,N,4,2,SLIM,N/A,OK,OK,NONE,C,,Good,,available,KEEP,Slim black dress belt. Plain silver prong buckle,
128,Accessories,Belt,Versace,Black,Solid,Smart casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,leather,FLAT,N/A,N,3,2,REGULAR,N/A,FAIL,OFF-BRIEF,NONE,C,,Good,,available,RETIRE,Fails the no-logo rule. Plate buckle also cuts the waist,
129,Accessories,Belt,Charles Tyrwhitt,Chocolate brown,Solid,Smart casual,All year,brown,D,NEUTRAL,WARM,#4a3226,leather,FLAT,N/A,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,Size 30 - fits on the last hole but comfortable. No exchange,New,2026,available,KEEP,"Arrived 24 Aug 2026. 30mm, silver-tone buckle. CLOSED THE BROWN-BELT GAP - 108 and 109 are now wearable with a correct belt. SIZE 30 IS THE REFERENCE BELT SIZE",Measure prong-to-hole-used - settles the body waist question
132,Accessories,Tie,TBC,Black,Solid,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,KEEP,Plain black - sombre formal cover,
133,Accessories,Tie,TBC,Black,Solid,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,KEEP,Plain black - spare,
134,Accessories,Tie,TBC,Black,Solid,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,CHECK,Plain black - likely surplus,
135,Accessories,Tie,TBC,Black,Solid,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,CHECK,Plain black - likely surplus,
136,Accessories,Tie,TBC,Black,Solid,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,KEEP,No navy tie is owned,
137,Accessories,Tie,TBC,Olive green / cream,Diagonal stripe,Smart,All year,olive,M,MUTED,WARM,#5e6444,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,KEEP,BEST COLOUR IN THE TIE COLLECTION,
138,Accessories,Tie,TBC,Black / grey,Fine dotted stripe,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,OK,OK,NONE,B,,Good,,available,KEEP,Safe with the grey suit,
139,Accessories,Tie,TBC,Burgundy / navy-black,Diagonal stripe,Smart,All year,burgundy,D,MUTED,WARM,#5c2233,silk,FLAT,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,B,,Good,,available,KEEP,Most wearable patterned tie owned,
140,Accessories,Tie,TBC,Purple / aubergine,Solid textured,Smart,All year,purple,D,SATURATED,COOL,#3d2b40,silk,FLAT,N/A,N,4,2,REGULAR,N/A,WEAK,OK,NONE,B,,Good,,available,CHECK,Purple is off palette,
141,Accessories,Tie,TBC,Red / gold,Diagonal stripe,Smart,All year,red,M,SATURATED,WARM,#a63a30,silk,FLAT,N/A,N,4,2,REGULAR,N/A,FAIL,OK,NONE,B,,Good,,available,RETIRE,Bright red plus gold stripe - loud,
142,Accessories,Tie,TBC,Black,Tonal dot/circle,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,OK,OK,NONE,B,,Good,,available,KEEP,Black on black texture - evening use,
143,Accessories,Tie,TBC,Black / grey,Wide diagonal stripe,Smart,All year,black,D,NEUTRAL,NEUTRAL,#16171a,silk,FLAT,N/A,N,4,2,REGULAR,N/A,OK,OK,NONE,B,,Good,,available,CHECK,Mid-grey stripe sits at the weakest value,
144,Accessories,Tie,TBC,Grey-brown / taupe,Small repeat motif,Smart,All year,grey,M,NEUTRAL,COOL,#8f8f8d,silk,FLAT,N/A,N,4,2,REGULAR,N/A,WEAK,OK,NONE,B,,Good,,available,CHECK,,Check for a logo motif
145,Outerwear,Chore jacket (Assembly),Folk,Olive,Solid,Casual,Spring/Autumn,olive,M,MUTED,WARM,#5e6444,cotton,FLAT,OUTER,N,2,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Folk Assembly Jacket. Wooden/corozo buttons. BEST COLOUR FAMILY IN THE MOST USEFUL EVERYDAY LAYER OWNED,
146,Outerwear,Bomber jacket,Sandro,Navy,Solid,Smart casual,Spring/Autumn,navy,D,MUTED,COOL,#1e2a44,suede,PILE,OUTER,N,3,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Navy suede bomber. Ribbed collar cuffs and hem. The spring/autumn third office jacket,
147,Outerwear,Dinner jacket,All Saints (probable),Black,Solid,Formal (evening),All year,black,D,NEUTRAL,NEUTRAL,#16171a,wool,FLAT,OUTER,N,6,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Satin peak lapels. Satin-covered buttons. Jetted pockets. NO LABEL,Brand - confirm if possible
148,Outerwear,Dinner jacket,The Kooples,Black,Solid,Formal (evening),All year,black,D,NEUTRAL,NEUTRAL,#16171a,wool,FLAT,OUTER,N,6,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,THE CUT-OFF COLLAR ONE. Kept for sentiment,
149,Outerwear,Bomber jacket,All Saints,Tobacco,Solid,Casual,Spring/Autumn,brown,M,MUTED,WARM,#7a5230,leather,FLAT,OUTER,N,2,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,CASUAL rank 2 - does not substitute for a smart-casual brown jacket,
150,Outerwear,Unstructured blazer,Alex Mill,Navy,Solid,Smart casual,Spring/Summer,navy,D,MUTED,COOL,#1e2a44,cotton,FLAT,OUTER,N,3,3,RELAXED,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Size XS. THE DEFAULT OFFICE JACKET - derive its share of the set from 04-looks.md,MEASURE THE SHOULDER against 41.5 - if materially wider the default-office-jacket assumption needs revisiting and the brown-jacket case changes with it
151,Outerwear,Leather jacket,All Saints,Very dark grey,Solid,Casual,Autumn/Winter,charcoal,D,MUTED,NEUTRAL,#33343a,leather,FLAT,OUTER,N,2,5,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Heavy distressed leather. Belted waist strap. Inner tweed collar and built-in bib,
152,Outerwear,Trench / mac,Uniqlo,Tan,Solid,Smart casual,Spring/Autumn,tan,M,MUTED,WARM,#a97c4e,cotton,FLAT,OUTER,N,3,3,REGULAR,OK,STRONG,OK,NONE,E,Length confirmed correct,Good,,available,KEEP,"Cotton trench size XS. THE ONLY TAN SMART-CASUAL OUTER LAYER OWNED - narrows the case for a brown jacket, does not remove it (a trench is not a tailored jacket)",
153,Outerwear,Wool coat,Sandro,Navy,Solid,Smart,Autumn/Winter,navy,D,MUTED,COOL,#1e2a44,wool,TEXTURED,OUTER,N,4,5,REGULAR,OK,STRONG,OK,NONE,E,TAILORED TO HIM - its back length is the coat-length benchmark,Good,,available,KEEP,Winter workhorse,
154,Outerwear,Aviator jacket,Sandro,Dark brown,Solid,Casual,Autumn/Winter,brown,D,MUTED,WARM,#5a4030,leather,FLAT,OUTER,N,2,5,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Style SHPBL00865 colour 751. REMOVABLE shearling collar - collar off is smarter and works for a client day,
155,Accessories,Watch,Apple,Jet Black aluminium,Solid,All,All year,black,D,NEUTRAL,NEUTRAL,#16171a,other,FLAT,N/A,N,3,2,REGULAR,N/A,OK,OK,NONE,C,42mm case,Good,,available,KEEP,"Series 11 Jet Black aluminium 42mm. EXCEEDS THE 38-41mm DOCTRINE - grandfathered exception, not a precedent. Takes the SMALL band group (38/40/41/42) and 20mm adapters, never 44/45/46 and never 22mm",
156,Accessories,Watch strap,Apple,Dark blue,Solid,Casual,All year,blue,D,MUTED,COOL,#2b3d57,other,FLAT,N/A,N,2,2,REGULAR,N/A,OK,OK,NONE,C,,Good,,available,KEEP,Sport band. On a sport band the brown belt is orphaned - see the belt rule,
157,Accessories,Watch strap,Apple,Black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,other,FLAT,N/A,N,2,2,REGULAR,N/A,OK,OK,NONE,C,,Good,,available,KEEP,Sport band,
158,Accessories,Watch strap,Nike,White perforated,Solid,Sport,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,other,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,OK,GYM,C,,Good,,available,KEEP,Nike sport band,
159,Accessories,Watch strap,Aarni,Dark brown elk,Solid,Smart,All year,brown,D,NEUTRAL,WARM,#4a3728,leather,TEXTURED,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,E,,New,2026,available,KEEP,"ARRIVED 26 AUG 2026 and in use. Elk leather, dark brown, matte silver hardware. Fixed the sport-band weak point. With trainers it forms the two-point brown echo with belt 129",
160,Accessories,Necklace,Miansai,Silver,Solid,All,All year,silver,L,NEUTRAL,COOL,#c9c9cb,other,FLAT,N/A,N,3,2,REGULAR,N/A,STRONG,OK,NONE,C,,Good,,available,KEEP,"Long silver chain carrying a ring and sentimental pieces, falling mid-chest. CORRECT LENGTH - a long vertical pendant line elongates the torso. Wear it visible with an open collar",
161,Accessories,Scarf,Armani,Grey / black mix,Mix,Smart casual,Autumn/Winter,black,D,NEUTRAL,NEUTRAL,#16171a,wool,TEXTURED,N/A,N,3,2,REGULAR,N/A,WEAK,OK,NONE,C,,Good,,available,CHECK,The weaker of the two good scarves,
162,Accessories,Scarf,Sandro,Dark blue,Solid,Smart casual,Autumn/Winter,blue,D,MUTED,COOL,#2b3d57,wool,TEXTURED,N/A,N,3,2,REGULAR,N/A,STRONG,OK,NONE,C,,Good,,available,KEEP,Closed the scarf gap,
163,Accessories,Scarf,TBC,Olive / dark brown,Tie-dye / shibori,Smart casual,Autumn/Winter,olive,D,MUTED,WARM,#454a34,wool,TEXTURED,N/A,N,3,2,REGULAR,N/A,STRONG,OK,NONE,C,,Good,,available,KEEP,BEST SCARF BY COLOUR. Doubles as a plane wrap - in every packing template,Brand unknown
164,Accessories,Wallet,Tom Ford,Black leather,Solid,All,All year,black,D,NEUTRAL,NEUTRAL,#16171a,leather,FLAT,N/A,N,3,2,SLIM,N/A,OK,OK,NONE,C,,Good - retiring to storage,,available,RETIRE,Sentimental - retire to storage not the bin. Replace with a slim brown cardholder,
168,Accessories,Backpack (Mini),Rains,Black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,other,FLAT,N/A,N,2,2,REGULAR,N/A,OK,OFF-BRIEF,CASUAL,A,,Good,,available,KEEP,"Backpack MINI 12.5L 44x29x10cm waterproof. Right for WFH, office and travel; WRONG for client days and dinners on register and proportion - the two-strap rule is against it. Doubles as the personal item on every flight",
169,Trousers,Chinos,Frame,Light olive,Solid,Smart casual,All year,olive,L,MUTED,WARM,#8a8c5f,cotton,FLAT,BOTTOM,N,3,2,REGULAR,PLAIN,STRONG,OK,NONE,E,,Good,,available,KEEP,"Added 22 Aug 2026. Same cloth and cut as 49 Frame beige, in light olive. Replaced the shrunk Nudie olive. ONE OF ONLY TWO ALL-YEAR ODD TROUSERS for client days (with 49)",
171,Knitwear,Roll neck (fine knit),Bernard Weatherill,Navy fleck,Melange fleck,Smart casual,Autumn/Winter,navy,D,MUTED,COOL,#26314c,lambswool,TEXTURED,MID,N,3,3,REGULAR,N/A,STRONG,OK,NONE,E,Size S - fits well,Good,,available,KEEP,"Added 24 Aug 2026. Savile Row house. 'Plain Roll Neck Melange Tweed' in Navy Flec. 100% lambswool, ribbed collar and cuff, dry clean. White flecks are MELANGE not pattern - passes the solid-only rule on the same grounds as 86. THE SUBSTANTIAL ROLL NECK - worn alone or under a coat. Closed the navy-at-the-collar gap and cancelled the navy merino crew from the buy plan",Year acquired unknown
172,Knitwear,Wool jersey (thin),Richard James,Bottle green,Solid,Smart casual,Autumn/Winter,green,D,MUTED,COOL,#1f3a2d,wool,FLAT,MID,N,3,3,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,"Added 24 Aug 2026. Savile Row house. Thin wool jersey, fine gauge - an under-jacket knit. COLOUR CONFIRMED BY PAVLOS as bottle/forest green NOT olive. A NEW HUE - every other green here is olive. Cooler and bluer so it reads closer to navy than to the olive family; a dark-half piece for warm light bottoms. Graded OK not STRONG: deep and flattering but outside the established warm-muted palette and untested",Wear once and confirm whether it earns STRONG. This is the forest-green shade test in a garment already owned
173,Knitwear,Roll neck (jersey),Gianni Feraud,Charcoal,Solid,Smart casual,All year,charcoal,D,NEUTRAL,NEUTRAL,#3a3d42,jersey,FLAT,MID,N,3,2,SLIM,N/A,STRONG,OK,NONE,E,Tight / slim fit,Good,,available,KEEP,"Added 24 Aug 2026. Likely the Premium Muscle Fit Stretch Roll Neck. Stretch jersey rather than knitwear, so thin and close-fitting - THE ONLY KNIT THIN ENOUGH TO GO UNDER A BLAZER, unlike 62, 63 and 75. Charcoal is his daytime dark",SHADE - Gianni Feraud list this in grey AND charcoal. Graded STRONG on charcoal; if it is their mid-grey it drops to FAIL at the collar and the lead dinner look needs rebuilding. Confirm in daylight
174,Trousers,Jeans,7 For All Mankind,Dark blue,Solid,Casual,All year,blue,D,MUTED,COOL,#35506e,denim,TEXTURED,BOTTOM,N,2,2,REGULAR,PLAIN,OK,OK,NONE,C,,Damaged - large hole,,available,TAILOR,"Added 24 Aug 2026, one day after capture was declared closed. The second 7FAM pair - dark blue, distinct from 50 which is black. THE ONLY BLUE JEANS OWNED - this corrects the 'zero blue jeans' line that appeared in three documents. EXCLUDED from generated looks until assessed",TAILOR TO ASSESS - repairable or retire? If not repairable a replacement goes on the buy plan. Confirm the shade in daylight
175,Luggage,Cabin suitcase (4-wheel),Tumi,Black,Solid,All,All year,black,D,NEUTRAL,NEUTRAL,#16171a,technical,TEXTURED,N/A,N,4,2,REGULAR,N/A,OK,OK,NONE,C,,Excellent,,available,KEEP,"Added 27 Aug 2026 - opened the Luggage category. TUMI Alpha Dual Access Expandable Carry-On, standard not Large. Black 1680D ballistic nylon. 55 x 35.5 x 23cm external, expanding to 28cm. 4.2kg EMPTY. Four dual wheels, dual TSA lock, front and main access, AirTag pocket. HANGER BRACKET BUT NO SUITER - it does not carry tailoring flat. RRP c.GBP850. NEVER EXPAND FOR A CABIN LEG. PALETTE OK not STRONG - black nylon is register-neutral, invisible rather than good next to a brown-led spine; same finding as 168. Specs are provenance A from the product page - tape-confirm to E",GENERATION - Alpha 3 or Alpha 4. A USB-C port on the side means Alpha 4
176,Accessories,Pocket square,TBC,White,Solid,Smart,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,UNKNOWN,UNKNOWN,N/A,N,4,2,REGULAR,N/A,STRONG,OK,NONE,C,,Good,,available,KEEP,"Added 30 Aug 2026. Already owned, not a purchase - it was never recorded. Closes the client-day mode requirement in 00-rules.md (watch and white pocket square), which until now no look in 04-looks.md could meet. Only worn with a jacket, so it is an addition to a look and never a look-maker.","BRAND AND FABRIC UNKNOWN - linen or silk, and they grade differently. Silk reads dinner and evening; linen reads summer client day and holds a flat fold. Confirm before the STRONG palette grade and the rank 4 are trusted."
